station_code,station_latitude_deg,station_longitude_deg,site_key,mesh_code,jcode,avs30_mps,arv,avs_eb_mps,avs_ref,jshis_known
HRS005,34.777,133.2807,HRS005|34.7770|133.2807,5233123212,3.0,403.7,0.9922,,0.0,1
HRS006,34.6659,132.4077,HRS006|34.6659|132.4077,5132739243,10.0,466.3,0.8775,,0.0,1
HRS007,34.7032,133.0946,HRS007|34.7032|133.0946,5233004723,1.0,775.5,0.5689,,0.0,1
HRS008,34.6107,132.7193,HRS008|34.6107|132.7193,5132753723,10.0,418.4,0.9624,,0.0,1
HRS009,34.4926,132.2794,HRS009|34.4926|132.2794,5132529212,8.0,504.3,0.8209,,0.0,1
HRS010,34.5868,133.0488,HRS010|34.5868|133.0488,5133700324,10.0,447.4,0.909,,0.0,1
HRS010,34.5887,133.0501,HRS010|34.5887|133.0501,5133700431,10.0,453.3,0.8989,,0.0,1
HRS011,34.5676,133.2362,HRS011|34.5676|133.2362,5133618822,10.0,308.6,1.2472,,0.0,1
HRS012,34.4276,132.7422,HRS012|34.4276|132.7422,5132551914,11.0,366.1,1.0783,,0.0,1
HRS013,34.3768,132.4505,HRS013|34.3768|132.4505,5132435611,19.0,229.9,1.6029,,0.0,1
HRS014,34.2869,132.2766,HRS014|34.2869|132.2766,5132324213,19.0,236.3,1.5657,,0.0,1
HRS015,34.4849,133.3615,HRS015|34.4849|133.3615,5133528822,15.0,207.5,1.749,,0.0,1
HRS016,34.4198,133.1971,HRS016|34.4198|133.1971,5133510524,1.0,775.5,0.5689,,0.0,1
HRS017,34.404,133.0832,HRS017|34.4040|133.0832,5133408623,15.0,207.5,1.749,,0.0,1
HRS018,34.3413,132.9068,HRS018|34.3413|132.9068,5132470243,19.0,236.3,1.5657,,0.0,1
HRS019,34.2485,132.5647,HRS019|34.2485|132.5647,5132249533,19.0,236.3,1.5657,,0.0,1
HRS020,34.3027,133.1693,HRS020|34.3027|133.1693,5133316323,3.0,428.5,0.9431,,0.0,1
HRS021,34.9529,133.1171,HRS021|34.9529|133.1171,5233304914,1.0,775.5,0.5689,,0.0,1
HYG001,35.6194,134.45,HYG001|35.6194|134.4500,5334334524,17.0,194.5,1.8484,,0.0,1
HYG002,35.6411,134.6284,HYG002|35.6411|134.6284,5334356034,16.0,260.2,1.4425,,0.0,1
HYG003,35.4615,134.8758,HYG003|35.4615|134.8758,5334175013,12.0,215.3,1.6954,,0.0,1
HYG004,35.4582,134.5748,HYG004|35.4582|134.5748,5334144544,2.0,400.3,0.9994,,0.0,1
HYG005,35.3407,134.8619,HYG005|35.3407|134.8619,5334060844,10.0,364.6,1.0822,,0.0,1
HYG006,35.3326,134.6652,HYG006|35.3326|134.6652,5234759333,8.0,500.4,0.8264,,0.0,1
HYG007,35.1637,134.5459,HYG007|35.1637|134.5459,5234549341,11.0,377.8,1.0499,,0.0,1
HYG008,35.1482,134.788,HYG008|35.1482|134.7880,5234567333,1.0,775.5,0.5689,,0.0,1
HYG009,35.169,135.1041,HYG009|35.1690|135.1041,5235600814,10.0,370.2,1.0683,,0.0,1
HYG010,35.0593,135.1777,HYG010|35.0593|135.1777,5235417411,8.0,484.8,0.8488,,0.0,1
HYG011,34.9848,134.3228,HYG011|34.9848|134.3228,5234328522,10.0,370.8,1.0667,,0.0,1
HYG012,34.9959,134.552,HYG012|34.9959|134.5520,5234349431,10.0,357.3,1.1009,,0.0,1
HYG013,34.989,134.7634,HYG013|34.9890|134.7634,5234368131,10.0,371.8,1.0644,,0.0,1
HYG014,35.0023,134.9999,HYG014|35.0023|134.9999,5234470924,8.0,472.0,0.8684,,0.0,1
HYG015,34.9515,135.2713,HYG015|34.9515|135.2713,5235324121,1.0,775.5,0.5689,,0.0,1
HYG016,34.7551,134.39,HYG016|34.7551|134.3900,5234130131,15.0,207.5,1.749,,0.0,1
HYG017,34.8593,134.5445,HYG017|34.8593|134.5445,5234243321,11.0,299.4,1.2801,,0.0,1
